"Extension Ffuenf_AttributeOptions is disabled! See configuration.", "Die Extension Ffuenf_AttributeOptions ist nicht aktiv. Prüfen Sie die Konfiguration."
"In batch","In batch"
"Add Options","Optionen hinzufügen"
"One by one","Einzeln"
"Add attribute options (one option per line)","Attribut-Optionen hinzufügen (einzeln pro Zeile)"
"Attribute option","Attribut-Option"
"already existed in","existiert bereits in"
"is added to","wurde hinzugefügt zu"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.", "Wenn Sie keinen Options-Wert für eine Storeview festlegen wird der Standardwert (Admin) verwendet."
"Manage Titles (Size, Color, etc.)", "Titel verwalten (Größe, Farbe etc.)"
"Manage Options (values of your attribute)", "Optionen verwalten (Werte des Attributs)"
"Add Options", "Optionen hinzufügen"
"Is Default", "Standardwert"
"Merge", "Merge-Quelle"
"Merge goal", "Merge-Ziel"
"Option is required", "Option ist ein Pflichtfeld"
"Failed", "Fehlgeschlagen"
"Are you sure you want to merge these attributes?", "Sind Sie sicher, dass Sie die gewählten Attribut-Optionen zusammenführen möchten?"
"Merge selected attribute options", "Gewählte Attribut-Optionen zusammenführen"
"Delete", "Löschen"
"Position", "Position"
"No options to merge selected!", "Keine Attribut-Optionen zur Zusammenführung gewählt!"
"Only one option to merge is selected!", "Es wurde nur eine Attribut-Option zum Zusammenführen gewählt!"
"You haven't selected a merge goal.", "Es wurde kein Merge-Ziel gewählt."
